"cluster","#genes","genes"
"18","24","Gene1307, Gene1292, Gene4221, Gene8773, Gene788, Gene6314, Gene5315, Gene762, Gene6945, Gene614, Gene6650, Gene428, Gene71, Gene9511, Gene7512, Gene2452, Gene7900, Gene9599, Gene4888, Gene3982, Gene6548, Gene4188, Gene6604, Gene5059"
"11","31","Gene6868, Gene8367, Gene9877, Gene7402, Gene5880, Gene8637, Gene2997, Gene8514, Gene8581, Gene8748, Gene9696, Gene3731, Gene2824, Gene2843, Gene4065, Gene8165, Gene5591, Gene7207, Gene6299, Gene9239, Gene754, Gene9098, Gene2234, Gene3218, Gene4167, Gene3908, Gene8567, Gene7627, Gene1652, Gene9832, Gene2098"
"1","247","Gene4265, Gene2823, Gene5362, Gene1555, Gene8753, Gene3819, Gene1332, Gene2753, Gene7865, Gene5277, Gene8426, Gene9592, Gene81, Gene87, Gene367, Gene4635, Gene9647, Gene9593, Gene2854, Gene3525, Gene8270, Gene5186, Gene4650, Gene2082, Gene1272, Gene6529, Gene1495, Gene7371, Gene3983, Gene9674, Gene7973, Gene6662, Gene8076, Gene1150, Gene7229, Gene4670, Gene2451, Gene8953, Gene5969, Gene4133, Gene2414, Gene8633, Gene5285, Gene6155, Gene3507, Gene6491, Gene2706, Gene9205, Gene9556, Gene5846, Gene8108, Gene5504, Gene9108, Gene8476, Gene4862, Gene8521, Gene1136, Gene7722, Gene8527, Gene8073, Gene8880, Gene7645, Gene1798, Gene9973, Gene4085, Gene1833, Gene1590, Gene3397, Gene881, Gene8578, Gene8519, Gene528, Gene8161, Gene8468, Gene2565, Gene2175, Gene9211, Gene5886, Gene321, Gene9351, Gene1435, Gene5110, Gene5489, Gene4089, Gene1566, Gene4078, Gene5208, Gene6798, Gene4684, Gene9643, Gene3306, Gene6753, Gene2818, Gene5571, Gene9600, Gene6700, Gene8061, Gene9540, Gene3189, Gene5228, Gene2779, Gene1857, Gene4489, Gene849, Gene1579, Gene579, Gene6105, Gene1086, Gene7368, Gene5781, Gene8236, Gene2776, Gene8254, Gene4758, Gene7462, Gene8397, Gene1711, Gene9891, Gene1370, Gene8602, Gene5906, Gene3990, Gene8318, Gene7695, Gene5386, Gene1082, Gene1844, Gene6135, Gene3674, Gene3950, Gene5919, Gene6382, Gene512, Gene3175, Gene1060, Gene9673, Gene6250, Gene5128, Gene9439, Gene8152, Gene2947, Gene991, Gene4484, Gene2481, Gene9910, Gene4345, Gene820, Gene3604, Gene5094, Gene7199, Gene7076, Gene44, Gene5293, Gene8965, Gene4411, Gene6989, Gene6583, Gene7329, Gene9679, Gene8243, Gene2017, Gene4938, Gene2230, Gene5001, Gene2582, Gene3439, Gene6085, Gene5664, Gene169, Gene2653, Gene5653, Gene5797, Gene5168, Gene3719, Gene5035, Gene3234, Gene9735, Gene2576, Gene6745, Gene8846, Gene6246, Gene1164, Gene8205, Gene9352, Gene9242, Gene388, Gene1227, Gene3781, Gene7648, Gene3544, Gene4688, Gene2571, Gene7187, Gene440, Gene5934, Gene1032, Gene100, Gene7297, Gene3134, Gene732, Gene750, Gene1843, Gene7612, Gene8794, Gene847, Gene7540, Gene9579, Gene9814, Gene2238, Gene8542, Gene8293, Gene1070, Gene276, Gene4291, Gene7118, Gene7977, Gene4892, Gene1816, Gene9282, Gene8666, Gene1089, Gene7878, Gene3876, Gene2118, Gene7744, Gene8946, Gene6282, Gene4028, Gene5351, Gene575, Gene5656, Gene5016, Gene7308, Gene4948, Gene6037, Gene9957, Gene3479, Gene7925, Gene8711, Gene6159, Gene7834, Gene2136, Gene5074, Gene6022, Gene1539, Gene9918, Gene6638"
"6","69","Gene3712, Gene6344, Gene6762, Gene2952, Gene8572, Gene9032, Gene9790, Gene301, Gene1162, Gene8867, Gene6386, Gene4364, Gene5983, Gene7898, Gene8804, Gene8206, Gene8720, Gene303, Gene5402, Gene9030, Gene2964, Gene7921, Gene3045, Gene6790, Gene5219, Gene479, Gene6539, Gene356, Gene220, Gene3468, Gene7070, Gene1668, Gene4175, Gene3584, Gene8758, Gene6392, Gene6278, Gene2585, Gene8906, Gene2262, Gene8951, Gene9134, Gene8002, Gene4250, Gene4897, Gene5991, Gene6306, Gene3243, Gene1632, Gene4965, Gene1488, Gene415, Gene3426, Gene2960, Gene9545, Gene4932, Gene6214, Gene1808, Gene7974, Gene9198, Gene99, Gene7062, Gene1323, Gene2924, Gene6971, Gene8365, Gene1502, Gene1451, Gene6933"
"2","184","Gene9849, Gene7179, Gene2246, Gene231, Gene3201, Gene5507, Gene8968, Gene9695, Gene243, Gene2569, Gene4928, Gene4321, Gene7948, Gene7287, Gene8142, Gene3411, Gene1105, Gene6396, Gene1691, Gene9823, Gene8839, Gene9369, Gene27, Gene4655, Gene6021, Gene5343, Gene2940, Gene2268, Gene4763, Gene5258, Gene2939, Gene1630, Gene8118, Gene5992, Gene6972, Gene885, Gene2763, Gene9327, Gene6782, Gene3442, Gene994, Gene5720, Gene5144, Gene1740, Gene3923, Gene9829, Gene251, Gene5308, Gene5112, Gene187, Gene2497, Gene151, Gene3017, Gene1661, Gene3413, Gene6013, Gene7273, Gene6275, Gene9921, Gene808, Gene8194, Gene2289, Gene4368, Gene5264, Gene6336, Gene9738, Gene4590, Gene9893, Gene5470, Gene7936, Gene9462, Gene4147, Gene9199, Gene712, Gene3120, Gene3968, Gene7681, Gene3922, Gene6844, Gene6921, Gene726, Gene6110, Gene7, Gene7346, Gene3572, Gene9180, Gene1468, Gene6232, Gene4835, Gene7666, Gene2663, Gene5225, Gene1956, Gene7341, Gene1469, Gene9631, Gene6979, Gene729, Gene9133, Gene4178, Gene8070, Gene7219, Gene8269, Gene6357, Gene465, Gene3555, Gene2259, Gene8561, Gene1022, Gene6915, Gene2874, Gene741, Gene7424, Gene3447, Gene9063, Gene6619, Gene35, Gene5320, Gene5620, Gene3961, Gene513, Gene7584, Gene3791, Gene2370, Gene3738, Gene6255, Gene4706, Gene2517, Gene8682, Gene4015, Gene910, Gene135, Gene6716, Gene2472, Gene8177, Gene7915, Gene9454, Gene9640, Gene8031, Gene8494, Gene8444, Gene7200, Gene2558, Gene3530, Gene830, Gene8528, Gene8756, Gene1885, Gene4609, Gene1929, Gene713, Gene282, Gene1903, Gene9007, Gene7283, Gene3777, Gene5291, Gene2320, Gene67, Gene3012, Gene6584, Gene677, Gene538, Gene7980, Gene5010, Gene1528, Gene3391, Gene7646, Gene8219, Gene6569, Gene5690, Gene1719, Gene3824, Gene7843, Gene3995, Gene6820, Gene9791, Gene1605, Gene6400, Gene8843, Gene3746, Gene9865, Gene6490, Gene5518"
"15","26","Gene4000, Gene1722, Gene4292, Gene8303, Gene9388, Gene9607, Gene6300, Gene9743, Gene3760, Gene3822, Gene2416, Gene902, Gene6737, Gene1790, Gene4710, Gene4066, Gene5137, Gene1073, Gene694, Gene8362, Gene3139, Gene2714, Gene6995, Gene7261, Gene5020, Gene1472"
"7","66","Gene3807, Gene5855, Gene4125, Gene1373, Gene8522, Gene9246, Gene5170, Gene2363, Gene7833, Gene9925, Gene8056, Gene3816, Gene9683, Gene9723, Gene4430, Gene288, Gene8612, Gene1180, Gene9392, Gene1127, Gene4536, Gene7272, Gene6828, Gene3329, Gene938, Gene8973, Gene9534, Gene874, Gene2511, Gene4032, Gene1805, Gene6507, Gene1521, Gene7417, Gene9419, Gene1932, Gene8556, Gene2239, Gene3197, Gene3651, Gene4559, Gene615, Gene5929, Gene4087, Gene3839, Gene4996, Gene7708, Gene3797, Gene6377, Gene8044, Gene7267, Gene3865, Gene8258, Gene6647, Gene4249, Gene5413, Gene5831, Gene6061, Gene9152, Gene2647, Gene6728, Gene245, Gene1580, Gene5307, Gene664, Gene5100"
"5","100","Gene5089, Gene3250, Gene9751, Gene2086, Gene4110, Gene2919, Gene9875, Gene2265, Gene6, Gene4545, Gene9914, Gene3718, Gene7177, Gene9290, Gene7085, Gene8651, Gene1706, Gene6757, Gene8840, Gene305, Gene1088, Gene3627, Gene7009, Gene6576, Gene4570, Gene1659, Gene2606, Gene2945, Gene1113, Gene1542, Gene9702, Gene671, Gene3190, Gene9870, Gene9754, Gene3270, Gene8035, Gene4828, Gene1266, Gene6207, Gene3516, Gene6708, Gene8636, Gene5253, Gene1408, Gene7623, Gene7798, Gene5498, Gene8296, Gene4770, Gene7354, Gene2333, Gene6028, Gene7644, Gene3240, Gene4925, Gene1779, Gene2628, Gene9985, Gene9348, Gene9837, Gene3663, Gene1907, Gene3308, Gene5844, Gene6230, Gene5437, Gene4271, Gene6476, Gene1872, Gene9984, Gene185, Gene3669, Gene7535, Gene6415, Gene6910, Gene7854, Gene7576, Gene1028, Gene4953, Gene4187, Gene4340, Gene3350, Gene865, Gene2423, Gene2833, Gene6834, Gene9308, Gene7577, Gene4499, Gene5383, Gene5636, Gene1203, Gene8987, Gene810, Gene3094, Gene476, Gene976, Gene7749, Gene318"
"3","122","Gene1946, Gene6781, Gene4039, Gene2323, Gene1274, Gene517, Gene4348, Gene3751, Gene1616, Gene113, Gene484, Gene4414, Gene4184, Gene1795, Gene1246, Gene2676, Gene1342, Gene8310, Gene9120, Gene893, Gene5329, Gene2309, Gene2255, Gene8479, Gene5082, Gene733, Gene2739, Gene1377, Gene2468, Gene4246, Gene6775, Gene1193, Gene6657, Gene6578, Gene2385, Gene2142, Gene5835, Gene9586, Gene3730, Gene9281, Gene6821, Gene8114, Gene4457, Gene789, Gene5267, Gene6796, Gene5973, Gene2860, Gene8516, Gene2675, Gene208, Gene8369, Gene1159, Gene567, Gene8908, Gene1890, Gene5300, Gene9365, Gene2771, Gene7020, Gene6115, Gene7968, Gene8772, Gene1075, Gene4079, Gene1617, Gene4742, Gene5652, Gene3418, Gene659, Gene5409, Gene4113, Gene5091, Gene240, Gene918, Gene7841, Gene6285, Gene7492, Gene2810, Gene9949, Gene7525, Gene1147, Gene1727, Gene2194, Gene3691, Gene2045, Gene563, Gene2912, Gene117, Gene8273, Gene1186, Gene2345, Gene6477, Gene8392, Gene6393, Gene6871, Gene1046, Gene7608, Gene4025, Gene8286, Gene2151, Gene20, Gene7420, Gene3474, Gene6268, Gene8334, Gene6813, Gene7430, Gene204, Gene7245, Gene9783, Gene4228, Gene1522, Gene5691, Gene5749, Gene5573, Gene1944, Gene9321, Gene3919, Gene4016, Gene7992, Gene7065"
"4","119","Gene7928, Gene611, Gene2477, Gene7376, Gene3833, Gene2943, Gene1531, Gene2261, Gene3943, Gene666, Gene8325, Gene4690, Gene5588, Gene8537, Gene9518, Gene3403, Gene5874, Gene5946, Gene5639, Gene7960, Gene2692, Gene1997, Gene1438, Gene6054, Gene1168, Gene8185, Gene9664, Gene504, Gene2113, Gene4691, Gene2534, Gene4956, Gene3098, Gene7027, Gene5395, Gene5007, Gene6194, Gene1234, Gene7622, Gene1123, Gene95, Gene3585, Gene4672, Gene4806, Gene9499, Gene2058, Gene6854, Gene3642, Gene9828, Gene9699, Gene4607, Gene3897, Gene6312, Gene6213, Gene2135, Gene3924, Gene7526, Gene359, Gene6160, Gene3105, Gene4366, Gene9691, Gene4434, Gene6656, Gene4606, Gene3901, Gene2033, Gene7650, Gene4968, Gene1166, Gene4073, Gene6736, Gene3117, Gene2040, Gene2288, Gene9977, Gene426, Gene1493, Gene648, Gene4816, Gene2049, Gene8425, Gene1807, Gene5302, Gene9517, Gene5309, Gene8190, Gene6538, Gene8534, Gene7175, Gene4628, Gene9194, Gene7709, Gene1690, Gene488, Gene1512, Gene8569, Gene7509, Gene8607, Gene8978, Gene2356, Gene2904, Gene4272, Gene7012, Gene7015, Gene7142, Gene2603, Gene8623, Gene2559, Gene8497, Gene7816, Gene6048, Gene4949, Gene5092, Gene1270, Gene3589, Gene9803, Gene6343, Gene128"
